web_scraper_order,web_scraper_start_url,name,data,data2,data3,title,data4,data5,data6,data7,image,image2,image3,image4,image5,image6,image7,image8,image9,image10,image11
"1785468000-11","https://www.sony-asia.com/microsite/rmdc/creativelooks/alpha-recipes/","Jonpoon.jpg","VV2 (Vivid2) | Contrast +2, Highlights +4, Shadows +2, Fade 0, Saturation +2, Sharpness +4, Sharpness Range +3, Clarity +8, WB Daylight","","Singapore","Featured Look","","‹","›","×","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/DSC00887-1024x683.jpg","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/DSC00886-1024x683.jpg","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/DSC00885-1024x683.jpg","","","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/DSC00887-1024x683.jpg","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/DSC00886-1024x683.jpg","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/DSC00885-1024x683.jpg","","","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/jonpoon.jpg_Profile-photo_500x500.jpg"
"1785468000-12","https://www.sony-asia.com/microsite/rmdc/creativelooks/alpha-recipes/","Jonpoon.jpg","VV2 (Vivid2) | Contrast +2, Highlights +4, Shadows +2, Fade 0,

Saturation +2, Sharpness +4, Sharpness Range +3, Clarity +8, WB Daylight","","Singapore","Featured Look","","‹","›","×","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/DSC01028-1024x683.jpg","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/DSC01048-1024x683.jpg","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/DSC00655-1024x683.jpg","","","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/DSC01028-1024x683.jpg","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/DSC01048-1024x683.jpg","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/DSC00655-1024x683.jpg","","","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/jonpoon.jpg_Profile-photo_500x500.jpg"
"1785468000-13","https://www.sony-asia.com/microsite/rmdc/creativelooks/alpha-recipes/","Khong ខុង","VV (Vivid) | Contrast 0, Highlights 0, Shadows 0, Fade 0, Saturation 0, Sharpness +4, Sharpness Range +3, Clarity +1, WB Daylight","Shot with Creative Looks

Exposure & brightness adjusted in post.","Cambodia","Featured Look","Shot with Creative Looks","‹","›","×","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/VV-7-683x1024.jpg","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/VV-4-683x1024.jpg","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/VV-2-683x1024.jpg","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/VV-9-683x1024.jpg","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/VV-8-683x1024.jpg","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/VV-7-683x1024.jpg","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/VV-4-683x1024.jpg","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/VV-2-683x1024.jpg","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/VV-9-683x1024.jpg","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/VV-8-683x1024.jpg","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/khong_profile-photo_500x500.jpg"
"1785468000-14","https://www.sony-asia.com/microsite/rmdc/creativelooks/alpha-recipes/","Filmreel","VV (Vivid) | Contrast 0, Highlights 0, Shadows 0, Fade 0, Saturation 0, Sharpness +4, Sharpness Range +3, Clarity +1, WB Colour Temp 5000K","","Cambodia","Featured Look","","‹","›","×","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/DSC00172-768x1024.jpg","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/DSC00213-1024x768.jpg","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/DSC00109-768x1024.jpg","","","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/DSC00172-768x1024.jpg","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/DSC00213-1024x768.jpg","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/DSC00109-768x1024.jpg","","","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/filmreel_profile-photo.jpeg"
"1785468000-15","https://www.sony-asia.com/microsite/rmdc/creativelooks/alpha-recipes/","Sandeeshwara Perera","ST (Standard) | Contrast -7, Highlights +9, Shadows -9, Fade 0, Saturation +1, Sharpness +3, Sharpness Range +3, Clarity 0, WB Colour Temp 5500K B2.5 G1.5","","Sri Lanka","Featured Look","","‹","›","×","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/DSC3997-1024x683.jpg","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/ST-7-9-9-0-1-0-3-0-5500K-B2.5-G1.5-683x1024.jpg","","","","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/DSC3997-1024x683.jpg","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/ST-7-9-9-0-1-0-3-0-5500K-B2.5-G1.5-683x1024.jpg","","","","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/LK_Sandeeshwara-Perera_Profile-photo_500x500.jpg"
"1785468000-16","https://www.sony-asia.com/microsite/rmdc/creativelooks/alpha-recipes/","Ravi Ranasinghe","ST (Standard) | Contrast -2, Highlights 0, Shadows 0, Fade 0, Saturation 0, Sharpness +4, Sharpness Range +3, Clarity +1, AWB","Shot with Creative Looks

Crop & RGB adjusted in post.","Sri Lanka","Featured Look","Shot with Creative Looks","‹","›","×","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/DSC08183_CROP-1024x683.jpg","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/DSC08153-_CROP-and-RGB-colour-adjust-1024x700.jpg","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/DSC08141_CROP-and-RGB-colour-adjust-1024x760.jpg","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/DSC08152_CROP-and-RGB-colour-adjust-1024x690.jpg","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/DSC08122_CROP-and-RGB-colour-adjust-1024x675.jpg","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/DSC08183_CROP-1024x683.jpg","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/DSC08153-_CROP-and-RGB-colour-adjust-1024x700.jpg","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/DSC08141_CROP-and-RGB-colour-adjust-1024x760.jpg","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/DSC08152_CROP-and-RGB-colour-adjust-1024x690.jpg","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/DSC08122_CROP-and-RGB-colour-adjust-1024x675.jpg","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/LK_Ravi-Ranasinghe_Profile-photo_500x500.jpg"
"1785468000-17","https://www.sony-asia.com/microsite/rmdc/creativelooks/alpha-recipes/","Ravi Ranasinghe","ST (Standard) | Contrast -2, Highlights 0, Shadows 0, Fade 0, Saturation 0, Sharpness +4, Sharpness Range +3, Clarity +1, AWB","Shot with Creative Looks

Crop & RGB adjusted in post.","Sri Lanka","Featured Look","Shot with Creative Looks","‹","›","×","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/DSC08202_CROP-and-RGB-colour-adjust-1024x816.jpg","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/DSC08224_CROP-and-RGB-colour-adjust-1024x696.jpg","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/DSC08426-ST-_CROP-and-RGB-colour-adjust-1024x935.jpg","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/DSC08263_CROP-and-RGB-colour-adjust-1024x759.jpg","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/DSC08220_CROP-and-RGB-colour-adjust-1024x613.jpg","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/DSC08202_CROP-and-RGB-colour-adjust-1024x816.jpg","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/DSC08224_CROP-and-RGB-colour-adjust-1024x696.jpg","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/DSC08426-ST-_CROP-and-RGB-colour-adjust-1024x935.jpg","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/DSC08263_CROP-and-RGB-colour-adjust-1024x759.jpg","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/DSC08220_CROP-and-RGB-colour-adjust-1024x613.jpg","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/LK_Ravi-Ranasinghe_Profile-photo_500x500.jpg"
"1785468000-18","https://www.sony-asia.com/microsite/rmdc/creativelooks/alpha-recipes/","Khong ខុង","ST (Standard) | Contrast 0, Highlights 0, Shadows 0, Fade 0, Saturation 0, Sharpness +4, Sharpness Range +3, Clarity +1, WB Daylight","Shot with Creative Looks

Exposure & brightness adjusted in post.","Cambodia","Featured Look","Shot with Creative Looks","‹","›","×","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/ST-2-1-1024x683.jpg","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/ST-683x1024.jpg","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/ST-6-683x1024.jpg","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/ST-4-683x1024.jpg","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/ST-3-683x1024.jpg","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/ST-2-1-1024x683.jpg","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/ST-683x1024.jpg","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/ST-6-683x1024.jpg","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/ST-4-683x1024.jpg","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/ST-3-683x1024.jpg","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/khong_profile-photo_500x500.jpg"
"1785468000-19","https://www.sony-asia.com/microsite/rmdc/creativelooks/alpha-recipes/","Filmreel","ST (Standard) | Contrast -4, Highlights -7, Shadows +4, Fade 0, Saturation +4, Sharpness 0, Sharpness Range +3, Clarity 0, WB Colour Temp 6000K","","Cambodia","Featured Look","","‹","›","×","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/ST-4-7404030-6000K-1024x683.jpg","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/ST-2-1024x683.jpg","","","","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/ST-4-7404030-6000K-1024x683.jpg","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/ST-2-1024x683.jpg","","","","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/filmreel_profile-photo.jpeg"
"1785468000-20","https://www.sony-asia.com/microsite/rmdc/creativelooks/alpha-recipes/","Sony Asia","SH (Soft Highkey) | Contrast -2, Highlights -5, Shadows +4, Fade +5, Saturation 0, Sharpness +5, Sharpness Range +3, Clarity +1, WB Colour Temp 5600K A3.5 G3.0","","Asia Pacific","Featured Look","","‹","›","×","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/SH_SEL2450G_DSC08535_compressed-683x1024.jpg","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/SH_SEL2450G_DSC08280_compressed-1024x683.jpg","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/SH_SEL2450G_DSC07777_compressed-683x1024.jpg","","","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/SH_SEL2450G_DSC08535_compressed-683x1024.jpg","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/SH_SEL2450G_DSC08280_compressed-1024x683.jpg","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/SH_SEL2450G_DSC07777_compressed-683x1024.jpg","","","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/Sony-Asia_Profile-Photo.jpg"
